"Position (bp)","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
17,35.88170897266633,35.52090076556676,36.35789713879538,36.16296810854363,34.93638893202878,34.27687454192244,36.24368615487558,36.29089367379171,36.58473857937813,36.539812496254946,35.21697409892263,35.06627165007508
22,36.03894266880023,35.62286809951901,36.351609314009586,36.1666776384208,34.85855137143993,34.50763385400914,36.41453756404859,36.41481043398426,36.58839747599853,36.56118460883441,35.25497496455095,35.36064189577553
27,35.810670349100306,35.7160554417754,36.29964399013754,36.1250804202653,34.70504089661956,34.084535029139865,36.29510228510375,36.514655520488745,36.5848166871569,36.55531870101966,35.26068777747645,35.1500214294491
32,35.86097848855382,35.594822510741736,36.12048520731567,35.949404597232295,34.189798595728334,33.72919033684538,36.33792960863568,36.476570774850806,36.58407767016199,36.558196549069734,34.9723646353401,35.009504146948544
37,35.932625460109826,35.41499596456279,36.22269015812803,36.05179907700656,34.41743788712002,33.87179324222405,36.39778045900566,36.398002339222764,36.580902030787115,36.559338106906125,35.25085936623342,35.24524309459638
42,35.93379550363657,35.521048187318925,36.25449892827288,36.07285418257773,34.46056813783908,33.75992416087509,36.401528544165686,36.44755604845218,36.5815406610072,36.55546856686765,35.38668867987702,35.252468584679605
47,35.88735578560399,35.508879361421215,36.23977786061566,36.058887019606516,34.03325630252705,33.17199683491758,36.31164254055077,36.4011512712784,36.585610158708064,36.5583574376591,35.103098318793215,34.8955865546766
52,35.645375109050114,35.46226982845893,36.21338197972695,36.034462830258335,34.29081850480432,33.19864666626906,36.108406727056284,36.321148652177186,36.577591094639665,36.5602770647127,35.41324734862103,35.04523901712048
57,35.80411101417768,35.56276667708572,36.19954116158311,35.99555934686648,33.573487782291366,32.96220906202494,36.237104135258654,36.423564973727416,36.57846095181516,36.54792458084468,34.89362926241507,34.88438147333271
62,35.60762954219948,35.539242644074434,36.17164840316242,35.96611264098666,33.46825276775604,32.96793217280377,36.11157115153229,36.40676120119978,36.573390961095356,36.543849851899395,34.93984559151008,34.962933863484984
67,35.30686304239308,35.52091196215553,36.1338159275297,35.92709565570577,33.36436889484492,32.7119962396304,36.19178051782814,36.369821203083106,36.55747270296016,36.531255456861686,34.90349779573477,34.85557812613921
72,34.70694981595607,35.192053221118634,36.111093320469635,35.882317915635795,33.397754124698466,32.30420166608131,36.04103888455346,36.14391564842151,36.55481778236616,36.51425075258181,34.96409072500857,34.50230550097033
77,34.86534422512608,35.203391633349035,36.092401699716206,35.83259297811897,32.72055017388889,32.318352781582014,36.19775827296839,36.070075803651555,36.555476599620235,36.49817148914581,34.55332346395736,34.60991901971643
82,34.64003340315651,35.1392594389576,36.05041378202117,35.776692538332284,32.79901661706927,31.823821188451536,36.15340066483146,35.967625656391846,36.53549956038196,36.47167028968515,34.70958574774915,34.235358552213086
87,34.74667531292133,34.804567275170164,35.9976301992168,35.71755419849916,32.88624496259594,32.07971405104437,36.118866580915466,35.556627434523264,36.51442223082862,36.444561348518945,34.920755757603814,34.68398262521949
92,34.639208587783585,34.99319620622251,35.93676721442908,35.65121292707014,32.62438698294196,32.180062453075095,36.09917522902998,35.64914234670027,36.48200133625243,36.40796325922674,34.769262775096884,34.8587501947038
97,34.384579498112906,34.35453718433784,35.885200599281426,35.57555359030458,31.44250247368826,32.041659262669114,35.89467750813372,35.58606272846954,36.4584877617657,36.372241385507444,33.71746350525071,34.76663700569638
102,34.33413886569225,33.33316942771436,35.81833985661122,35.47204945870182,31.06913648716584,31.502943042409168,35.749763072490325,35.334981588727246,36.423849397902956,36.32026853886393,33.489622006622525,34.37766321376107
107,34.4363263992237,31.7993058114961,35.75153481223116,35.374321090574234,31.201320612318547,31.581772414738026,35.707648317753595,34.00626170062513,36.39697180360991,36.274845907629384,33.80964833238737,34.52420881575536
112,34.60526799501752,29.748656176085017,35.69785215708289,35.2746407707524,31.617139597985766,31.415374207788187,35.43689117652458,32.494426590267835,36.37690248743313,36.230370628092686,34.23235917548426,34.48187329207014
117,34.76828472925249,27.609105625819332,35.629922483183535,35.17869267397435,30.995696125548232,31.2881187428976,35.53804867236562,31.11646981979186,36.34939097461348,36.1865500793773,33.7495740997564,34.4116597358179
122,35.26910068065929,26.470369627386855,35.55272919955513,35.06602423447255,31.161412807754886,30.727439453720837,35.55339423149984,30.310696927376263,36.313402213258584,36.145268750271725,34.090093076381415,34.036984987887806
127,35.54587289072596,25.08979290976016,35.476071178234214,34.94926996989383,31.35727001373083,30.933599672674017,35.51911697094342,29.82288274242982,36.28942257331089,36.096317083545934,34.34708372875529,34.33151812327871
132,35.56754575439349,24.367021380819313,35.41466878025044,34.823601943757765,30.72317536521291,30.82925002187694,35.236053160592654,30.02013945648728,36.27840697721846,36.04146533524836,33.847856687739316,34.262888780183985
137,35.54552579647401,25.792184781036713,35.32416931627479,34.67569530840577,30.764238872403705,30.231115206681228,34.956638673367884,31.60327011620027,36.2511896494276,35.98856291498336,33.9517763904382,33.956928314899905
142,35.385058152282944,28.549285051154413,35.2456737552311,34.47962957196337,30.603442725719912,30.43956096719911,34.63368908160496,32.71187594965838,36.22668865325393,35.90341501063174,33.872209649776664,34.24175071136579
147,35.24836765320038,28.72015970813525,35.15915413868525,34.211381304776424,30.318342075569838,29.9066040919683,34.2031625942689,32.526949360581376,36.20843554174807,35.79144449272062,33.75473484089052,33.72283318429527
150,31.283604456514674,24.919229152365535,31.41978021384979,29.410679405274138,27.53200745127099,27.45689190912295,33.93859649122807,32.19517205957884,32.763864043811076,31.499456817864456,30.54031850128002,31.264251423474754
