"% GC","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
12,0.0009330490643850507,0.006297434844873189,0.04057599720516898,0.040505729967868484,0.0009000802312895821,0.0024385682715241707,0.010539605370265307,0.026816454665232026,0.056449336720293536,0.05890595013049242,0.0027067120961976757,0.003327744877563239
13,0.0011663113304813133,0.006997149827636876,0.043123369227018156,0.04123392286616725,0.0013501203469343734,0.00323071465271992,0.011436593061351715,0.026484019276820057,0.058093492158748684,0.05890595013049242,0.0033692926614127313,0.004270830470394927
14,0.0034989339914439405,0.010029248086279521,0.04357825708806265,0.04569410436824715,0.00204845845741767,0.00442670036550566,0.01379118575045354,0.0267056428690947,0.06074240925403754,0.060165008606564006,0.00438430969748686,0.005442951135771453
15,0.004431983055828991,0.01982525784497115,0.0484000684151343,0.0492440447474536,0.002607128945804307,0.005343105002575252,0.016482148823712767,0.02947593777252776,0.06412206209975091,0.06349252029332465,0.0053570343570579,0.0064399273339078075
16,0.006997867982887881,0.03148717422436594,0.05449556575313054,0.05133759933006253,0.003522727801771296,0.006756542663140217,0.018051877283113985,0.03147055010299956,0.06722768903905509,0.06565090625230452,0.0069359497465065435,0.008150954052331011
17,0.01049680197433182,0.04431528224170021,0.06059106309112677,0.05907464887448685,0.004841810899350856,0.008713610193153245,0.01872461805142879,0.03169217369527421,0.0705159999159654,0.07122673664633587,0.00920564061883897,0.011222718554697078
18,0.012362900103101922,0.057376628586622375,0.06714144829016751,0.06553736084688834,0.006347117493059295,0.0108881296709455,0.019733729203901,0.03379759782188334,0.07636188591936148,0.07932068399251041,0.011855962879699195,0.014887279715414491
19,0.01679488315893091,0.06623968503496243,0.07296401291153705,0.07409362740189876,0.008364538701122153,0.014646941911129252,0.019509482281129396,0.037343575298277656,0.07901080301465034,0.0844468506450876,0.015126573329271385,0.019212000791114087
20,0.024959062472300102,0.0788345547247088,0.07532942978896842,0.07982814647600149,0.012259713495151205,0.019135771404571834,0.023097433045475034,0.042108482532182516,0.08111166829712081,0.08804416057672072,0.01948268810908952,0.023967846709251023
21,0.03335650405176556,0.0958609526386252,0.08142492712696466,0.08055633937430025,0.018730979985629753,0.025504007018106293,0.03823410033255818,0.0528572267575028,0.08714023823812304,0.092091134249808,0.026559612443939694,0.03113529721477185
