"Position (bp)","PE1.R1 - illumina_universal_adapter","PE1.R1 - polyg","PE1.R2 - illumina_universal_adapter","PE1.R2 - polyg","PE2.R1 - polya","PE2.R1 - polyg","PE2.R2 - polya","PE2.R2 - polyg","PE3.R1 - polya","PE3.R1 - polyg","PE3.R2 - polya","PE3.R2 - polyg","PE1.R1.clean - illumina_universal_adapter","PE1.R2.clean - illumina_universal_adapter","PE2.R1.clean - polya","PE2.R2.clean - polya"
68,,,,,,,,,,,,,0.5036561082944296,0.8037302902018528
70,,,,,,,,,,,,,0.5042138669968598,0.8051246869579283
72,75.50624909610872,0.0025192324738396365,74.08138986988631,0.02006055488427859,0.4787454236678911,0.038609804709507665,0.4433261781341691,0.12317981628033303,0.02631306484879694,0.7882816608223463,0.1303733008558047,1.2977320222438375,0.5050505050505051,0.8059613250115735,0.4721097867014474,0.4309798079617694
74,,,,,,,,,,,,,0.5064449018065804,0.8059613250115735
76,,,,,,,,,,,,,0.5089548159675161,0.8065190837140037
77,76.13661704400725,0.018101151849069984,74.65036318934831,0.0203404696035941,0.4946578327218095,0.04139649563519389,0.4606521260634356,0.12697617783126786,0.030822319037226553,0.908887181457293,0.1406587598052438,1.428772856197023,,,0.4871121150122315,0.4465299741041272
78,,,,,,,,,,,,,0.5092336953187312,0.807634601118864
80,,,,,,,,,,,,,0.5097914540211613,0.8081923598212941
82,76.61685739744624,0.045346184529113466,75.03039407327235,0.021180213761540653,0.509762505275529,0.04349661053571104,0.4755144776670955,0.1332361357078094,0.0364486694294363,0.9856126182827779,0.15347811989984278,1.4957713821749592,0.5103492127235916,0.8098656359285846,0.5014823227481232,0.45955165794691455
84,,,,,,,,,,,,,0.5103492127235916,0.8098656359285846
86,,,,,,,,,,,,,0.5109069714260217,0.8104233946310148
87,76.97505493326366,0.08425433051397008,75.31226819562308,0.024819105112642348,0.5224035815036419,0.04567749908624809,0.489124837695447,0.13691133678371442,0.040930677368993224,1.0461333485912327,0.16644052280102334,1.5679466954387054,,,0.513450472299423,0.47126695926825724
88,,,,,,,,,,,,,0.5117436094796669,0.8109811533334449
90,,,,,,,,,,,,,0.512301368182097,0.8118177913870901
92,77.25944828808824,1.0151573820509352,75.54758316966097,0.038255011639787076,0.5340753739315159,0.04822186906187463,0.49901960982288357,0.1401018959595001,0.04514703438204146,1.1401737765753102,0.1772368489168254,1.6586017770003516,0.5125802475333121,0.8132121881431655,0.5236908256126828,0.4802852128033915
94,,,,,,,,,,,,,0.5134168855869574,0.8132121881431655
96,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
97,77.44456522246222,4.75099253094224,75.68072927114873,0.082948061823831,0.5457471663593902,0.05072585221249124,0.5080662586251112,0.14361554973536533,0.04997643199472513,1.2712554799018045,0.18720897600422862,1.7903033324886999,,,0.5337626134393048,0.48867134576363325
98,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
100,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
102,77.55335874336951,11.528847544448125,75.75891878274419,0.46260572612210815,0.5538649181863893,0.05286635393801834,0.5152147266518716,0.14684649573616093,0.05563684019802574,1.3697642927010023,0.19701762559839572,1.8922587957702923,0.5142535236406026,0.8132121881431655,0.5405895156481448,0.49490826876924016
104,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
106,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
107,77.62352403301126,23.83557809387407,75.81294232357209,1.4212203348713093,0.5602056497129506,0.056339620888873634,0.5211112031033236,0.1498351207868969,0.061998839309798014,1.446510164213142,0.21169654217855557,1.959243698623792,,,0.5460678939638807,0.5001759402266784
108,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
110,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
112,77.68323917313191,36.58933245004689,75.85576927562735,1.8737491310980587,0.5657790315643231,0.059166698639569804,0.5271288400298055,0.15193523568741404,0.07030213365374922,1.5412794293545637,0.23118442168474457,2.035914642951532,0.5142535236406026,0.8132121881431655,0.5501977483865123,0.504895773852543
114,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
116,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
117,77.79231260875854,57.11687839105019,75.93423870194214,3.8942668800238858,0.5716351211907652,0.06591129841623065,0.5333484110813371,0.15480270026312018,0.08031513011446148,1.6286649610514872,0.2460268157581405,2.1577666794724033,,,0.555423278472291,0.5096577488500673
118,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
120,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
122,77.86294442293247,68.37906051289707,75.98191750913222,13.824987986993296,0.5772085030421377,0.07200970899273239,0.5391237270577591,0.160093374339423,0.09143159965451755,1.699225934069527,0.25894834928601207,2.281144505930146,0.5142535236406026,0.8132121881431655,0.5606909499297293,0.5141247342459749
124,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
126,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
127,77.93105700463259,71.67263040526986,76.02278505815227,29.69064758270314,0.5810452514180824,0.0798851398696717,0.5439297592339427,0.16433399096546725,0.10203720202821076,1.7480784582982536,0.2746830580099885,2.3853069153704265,,,0.5637251286892137,0.5179595990669901
128,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
130,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
132,78.0321062183055,72.93299308144118,76.09752228820953,46.08329328997766,0.5838723291687786,0.08881062819686962,0.5459087136594301,0.17245174279246625,0.11181179381128703,1.79428809638633,0.2904722592317103,2.469075507529501,0.5142535236406026,0.8132121881431655,0.566000762758827,0.5197716780483488
134,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
136,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
137,78.42575961856954,74.35645273406702,76.40048331941534,61.778671431437225,0.5881533326198328,0.10007855237464436,0.5491396596602257,0.18299270412006197,0.12403854799290508,1.863241540720881,0.3115404211725151,2.535270269165693,,,0.5695406379782255,0.5225530085778762
138,,,,,,,,,,,,,0.5142535236406026,0.8132121881431655
140,78.67189796175433,75.21495117820771,76.5888659255147,67.19866014154354,0.5902534475203499,0.1098521640270511,0.5502704907605042,0.19002001167179242,0.1327914054432556,1.8917411170417113,0.3290325129487798,2.570104598349422,,,0.5714369997029033,0.5236065428693638
