"Read Position","PE1.R1","PE2.R1","PE3.R1"
1,56.5535,71.8118,67.6916
2,59.787800000000004,49.161100000000005,44.0775
3,24.4741,52.0185,47.6149
4,45.0231,49.0049,44.196000000000005
5,23.6015,33.1914,31.0149
6,25.6334,48.2738,44.5055
7,48.0039,52.078100000000006,48.7518
8,29.1714,49.6137,47.1438
9,24.4203,66.9409,64.8154
10,32.1127,45.2196,45.9919
11,27.6147,57.4878,54.5064
12,55.65330000000001,48.671,47.4188
13,26.779999999999998,55.9717,54.107099999999996
14,23.6287,55.7846,55.46210000000001
15,43.7506,54.1491,52.7807
16,38.0718,51.592499999999994,50.37239999999999
17,36.8844,51.4563,50.0934
18,39.0715,49.4675,48.615700000000004
19,38.6498,51.31909999999999,50.9706
20,34.6213,50.6656,50.1907
21,32.5799,52.345299999999995,51.9947
22,29.914800000000003,51.7263,51.676500000000004
23,47.806,49.6591,49.443
24,37.8378,50.687099999999994,50.4487
25,46.9861,50.17470000000001,49.5141
26,41.8709,51.2868,50.7715
27,35.0786,52.1712,51.367700000000006
28,36.7417,50.7379,49.8162
29,29.4377,52.1459,51.4607
30,37.2247,49.3264,48.8551
31,49.7193,51.96190000000001,51.2449
32,50.0722,51.6587,51.6427
33,25.1782,51.686,51.2351
34,32.376599999999996,51.037200000000006,50.783500000000004
35,28.567500000000003,50.877700000000004,50.3212
36,24.348200000000002,51.4991,50.6715
37,33.0167,51.7033,50.9575
38,49.292,51.6715,50.868
39,22.5973,52.452200000000005,51.2032
40,59.390299999999996,51.634800000000006,50.74419999999999
41,20.6218,52.219899999999996,51.1522
42,29.7101,51.034400000000005,51.0726
43,49.757600000000004,51.1158,50.775000000000006
44,49.311899999999994,50.1973,49.378499999999995
45,39.7948,51.67119999999999,50.698600000000006
46,49.9091,52.132999999999996,50.7898
47,45.2633,51.789300000000004,50.9637
48,40.2391,51.44109999999999,50.5205
49,41.7486,51.052,50.12839999999999
50,39.5729,51.519000000000005,50.75920000000001
51,35.4978,51.8417,50.7023
52,37.8827,51.0352,50.609
53,40.266600000000004,52.15220000000001,51.57190000000001
54,38.608599999999996,51.0967,50.3569
55,40.9808,51.153000000000006,50.8066
56,41.8637,51.746,50.718399999999995
57,36.2952,51.938300000000005,51.334
58,44.1715,51.511799999999994,51.0717
59,39.1846,51.1236,50.708200000000005
60,38.556000000000004,51.9842,51.286699999999996
61,41.4398,51.2505,50.385999999999996
62,39.201,51.236000000000004,50.90670000000001
63,38.6836,51.966100000000004,50.95570000000001
64,36.3001,51.8521,51.31099999999999
65,40.8969,51.4906,50.9406
66,37.5645,50.6838,49.9911
67,40.0507,51.1471,50.4073
68,38.5732,51.196600000000004,49.836999999999996
69,39.6899,52.288900000000005,51.1427
70,40.8527,51.7197,50.9473
71,37.3801,51.431000000000004,50.5221
72,36.0257,51.4981,50.888999999999996
73,39.636900000000004,50.155499999999996,49.984
74,38.903999999999996,51.615100000000005,50.9592
75,34.1278,51.8158,50.844500000000004
76,36.886,52.0443,51.248599999999996
77,38.831900000000005,51.5967,50.5424
