"Insert size","PE1.R1","PE2.R1","PE3.R1"
1,0,0,0.10340333544042017
2,1.2641633111714579,0.19078673511863467,0.18807701012182085
3,0.4635265474295346,0.050298321076730955,0.06516361139075535
4,0.21537597153291507,0.03468849729429721,0.03667891898641319
5,0.1685551081561944,0.022547523241293187,0.01990026455645822
6,0.10300589942878546,0.03295407242958235,0.06594401392238117
7,0.08895964041576926,0.013875398917718884,0.06867542278307151
8,0.046820863376720666,0.015609823782433745,0.05774978734031013
9,0.0421387770390486,0.006937699458859442,0.03980052911291644
10,0.06086712238973687,0.012140974053004025,0.02341207594877438
11,0.0280925180260324,0.006937699458859442,0.023021874682961473
12,0.07959546774042514,0.017344248647148605,0.02536308227783891
13,0.05150294971439273,0.012140974053004025,0.015608050632516253
14,0.037456690701376534,0.012140974053004025,0.01170603797438719
15,0.0280925180260324,0.006937699458859442,0.020290465822271127
16,0.009364172675344134,0.008672124323574303,0.016778654429954968
17,0.06554920872740894,0.017344248647148605,0.02341207594877438
18,0.018728345350688267,0.010406549188289163,0.040580931644542254
19,0.06554920872740894,0.013875398917718884,0.027704289872716347
20,0.023410431688360333,0.013875398917718884,0.026533686075277625
21,0.0280925180260324,0.012140974053004025,0.028094491138529253
22,0.03277460436370447,0.010406549188289163,0.027314088606903437
23,0.0140462590130162,0.015609823782433745,0.02536308227783891
24,0.07959546774042514,0.010406549188289163,0.028874893670155066
25,0.10300589942878546,0.019078673511863466,0.028094491138529253
26,0.0561850360520648,0.015609823782433745,0.03394751012572285
27,0.037456690701376534,0.03121964756486749,0.03902012658129063
28,0.0421387770390486,0.013875398917718884,0.040580931644542254
29,0.0140462590130162,0.012140974053004025,0.04487314556848422
30,0.018728345350688267,0.02428194810600805,0.04994576202405201
31,0.0280925180260324,0.015609823782433745,0.057359586074497225
32,1.3999438149639478,0.137019564312474,0.09013649240278136
33,0.7210412960014982,0.0919245178298876,0.08896588860534263
34,6.873302743702594,0.07804911891216873,0.087405083542091
35,2.5470549676936045,0.06937699458859442,0.10652494556692342
36,3.525611012267066,0.08151796864159845,0.12603500885756874
37,3.24000374566907,0.09886221728874706,0.21383029366547263
38,2.500234104316884,0.0971277924240322,0.2485582063228213
39,2.7202921621874707,0.12140974053004024,0.26338585442371176
40,0.5337578424946157,0.1977244345774941,0.25636223163907945
41,5.318850079595467,0.35555709726654644,0.25246021898095033
